0.000000 state F1 ss
0.000000 buffer_diff L0 -64
0.000000 buffer_diff L0 64
0.000000 buffer_diff L0 -64
0.000000 buffer_diff L0 64
0.000000 buffer_diff L1 -64
0.000000 buffer_diff L1 64
0.000000 buffer_diff L1 -64
0.000000 buffer_diff L1 64
0.000000 buffer_diff L2 -64
0.000000 buffer_diff L2 64
0.000000 buffer_diff L2 -64
0.000000 buffer_diff L2 64
0.000000 buffer_diff L3 -64
0.000000 buffer_diff L3 64
0.000000 buffer_diff L3 -64
0.000000 buffer_diff L3 64
0.000000 buffer_diff L4 -64
0.000000 buffer_diff L4 64
0.000000 buffer_diff L4 -64
0.000000 buffer_diff L4 64
0.000000 buffer_diff L5 -64
0.000000 buffer_diff L5 64
0.000000 buffer_diff L5 -64
0.000000 buffer_diff L5 64
0.000041 transmission L0 64
0.000041 transmission L0 64
0.000041 transmission L5 64
0.000041 transmission L5 64
0.000051 transmission L1 64
0.000051 transmission L1 64
0.000051 transmission L2 64
0.000051 transmission L2 64
0.000051 transmission L3 64
0.000051 transmission L3 64
0.000051 transmission L4 64
0.000051 transmission L4 64
0.010041 buffer_diff L2 -64
0.010041 buffer_diff L2 64
0.010041 buffer_diff L1 -64
0.010041 buffer_diff L1 64
0.010041 buffer_diff L0 -64
0.010041 buffer_diff L0 64
0.010041 buffer_diff L5 -64
0.010041 buffer_diff L5 64
0.010041 buffer_diff L4 -64
0.010041 buffer_diff L4 64
0.010041 buffer_diff L3 -64
0.010041 buffer_diff L3 64
0.010051 buffer_diff L1 -64
0.010051 buffer_diff L1 64
0.010051 buffer_diff L1 64
0.010051 buffer_diff L2 -64
0.010051 buffer_diff L2 64
0.010051 buffer_diff L2 64
0.010051 buffer_diff L3 64
0.010051 buffer_diff L3 -64
0.010051 buffer_diff L3 64
0.010051 buffer_diff L4 64
0.010051 buffer_diff L4 -64
0.010051 buffer_diff L4 64
0.010082 transmission L0 64
0.010082 transmission L5 64
0.010092 transmission L2 64
0.010092 transmission L1 64
0.010092 transmission L4 64
0.010092 transmission L3 64
0.010092 buffer_diff L2 -64
0.010092 buffer_diff L1 -64
0.010092 buffer_diff L4 -64
0.010092 buffer_diff L3 -64
0.010102 transmission L1 64
0.010102 transmission L2 64
0.010102 transmission L3 64
0.010102 transmission L4 64
0.010143 transmission L2 64
0.010143 transmission L1 64
0.010143 transmission L4 64
0.010143 transmission L3 64
0.020092 buffer_diff L4 -64
0.020092 buffer_diff L4 64
0.020092 buffer_diff L3 -64
0.020092 buffer_diff L3 64
0.020092 buffer_diff L2 -64
0.020092 buffer_diff L2 64
0.020092 buffer_diff L1 -64
0.020092 buffer_diff L1 64
0.020143 transmission L4 64
0.020143 transmission L3 64
0.020143 transmission L2 64
0.020143 transmission L1 64
0.030143 buffer_diff L5 -64
0.030143 buffer_diff L5 64
0.030143 buffer_diff L3 -64
0.030143 buffer_diff L3 64
0.030143 buffer_diff L4 -64
0.030143 buffer_diff L4 64
0.030143 buffer_diff L0 -64
0.030143 buffer_diff L0 64
0.030143 buffer_diff L1 -64
0.030143 buffer_diff L1 64
0.030143 buffer_diff L2 -64
0.030143 buffer_diff L2 64
0.030143 buffer_diff L5 64
0.030143 buffer_diff L0 64
0.030184 transmission L5 64
0.030184 transmission L0 64
0.030184 buffer_diff L5 -64
0.030184 buffer_diff L0 -64
0.030195 transmission L3 64
0.030195 transmission L4 64
0.030195 transmission L1 64
0.030195 transmission L2 64
0.030225 transmission L5 64
0.030225 transmission L0 64
0.040195 buffer_diff L1 -64
0.040195 buffer_diff L1 64
0.040195 buffer_diff L2 -64
0.040195 buffer_diff L2 64
0.040195 buffer_diff L3 -64
0.040195 buffer_diff L3 64
0.040195 buffer_diff L4 -64
0.040195 buffer_diff L4 64
0.040246 transmission L1 64
0.040246 transmission L2 64
0.040246 transmission L3 64
0.040246 transmission L4 64
0.050246 buffer_diff L2 -64
0.050246 buffer_diff L2 64
0.050246 buffer_diff L0 -64
0.050246 buffer_diff L0 64
0.050246 buffer_diff L1 -64
0.050246 buffer_diff L1 64
0.050246 buffer_diff L4 -64
0.050246 buffer_diff L4 64
0.050246 buffer_diff L5 -64
0.050246 buffer_diff L5 64
0.050246 buffer_diff L3 -64
0.050246 buffer_diff L3 64
0.050246 buffer_diff L0 64
0.050246 buffer_diff L5 64
0.050287 transmission L0 64
0.050287 transmission L5 64
0.050287 buffer_diff L0 -64
0.050287 buffer_diff L5 -64
0.050297 transmission L2 64
0.050297 transmission L1 64
0.050297 transmission L4 64
0.050297 transmission L3 64
0.050328 transmission L0 64
0.050328 transmission L5 64
0.060297 buffer_diff L4 -64
0.060297 buffer_diff L4 64
0.060297 buffer_diff L3 -64
0.060297 buffer_diff L3 64
0.060297 buffer_diff L2 -64
0.060297 buffer_diff L2 64
0.060297 buffer_diff L1 -64
0.060297 buffer_diff L1 64
0.060348 transmission L4 64
0.060348 transmission L3 64
0.060348 transmission L2 64
0.060348 transmission L1 64
0.070348 buffer_diff L5 -64
0.070348 buffer_diff L5 64
0.070348 buffer_diff L3 -64
0.070348 buffer_diff L3 64
0.070348 buffer_diff L4 -64
0.070348 buffer_diff L4 64
0.070348 buffer_diff L0 -64
0.070348 buffer_diff L0 64
0.070348 buffer_diff L1 -64
0.070348 buffer_diff L1 64
0.070348 buffer_diff L2 -64
0.070348 buffer_diff L2 64
0.070348 buffer_diff L5 64
0.070348 buffer_diff L0 64
0.070389 transmission L5 64
0.070389 transmission L0 64
0.070389 buffer_diff L5 -64
0.070389 buffer_diff L0 -64
0.070399 transmission L3 64
0.070399 transmission L4 64
0.070399 transmission L1 64
0.070399 transmission L2 64
0.070430 transmission L5 64
0.070430 transmission L0 64
0.080399 buffer_diff L1 -64
0.080399 buffer_diff L1 64
0.080399 buffer_diff L2 -64
0.080399 buffer_diff L2 64
0.080399 buffer_diff L3 -64
0.080399 buffer_diff L3 64
0.080399 buffer_diff L4 -64
0.080399 buffer_diff L4 64
0.080451 transmission L1 64
0.080451 transmission L2 64
0.080451 transmission L3 64
0.080451 transmission L4 64
0.090451 buffer_diff L2 -64
0.090451 buffer_diff L2 64
0.090451 buffer_diff L0 -64
0.090451 buffer_diff L0 64
0.090451 buffer_diff L1 -64
0.090451 buffer_diff L1 64
0.090451 buffer_diff L4 -64
0.090451 buffer_diff L4 64
0.090451 buffer_diff L5 -64
0.090451 buffer_diff L5 64
0.090451 buffer_diff L3 -64
0.090451 buffer_diff L3 64
0.090451 buffer_diff L0 64
0.090451 buffer_diff L5 64
0.090492 transmission L0 64
0.090492 transmission L5 64
0.090492 buffer_diff L0 -64
0.090492 buffer_diff L5 -64
0.090502 transmission L2 64
0.090502 transmission L1 64
0.090502 transmission L4 64
0.090502 transmission L3 64
0.090532 transmission L0 64
0.090532 transmission L5 64
0.100502 buffer_diff L4 -64
0.100502 buffer_diff L4 64
0.100502 buffer_diff L3 -64
0.100502 buffer_diff L3 64
0.100502 buffer_diff L2 -64
0.100502 buffer_diff L2 64
0.100502 buffer_diff L1 -64
0.100502 buffer_diff L1 64
0.100553 transmission L4 64
0.100553 transmission L3 64
0.100553 transmission L2 64
0.100553 transmission L1 64
0.110553 buffer_diff L5 -64
0.110553 buffer_diff L5 64
0.110553 buffer_diff L3 -64
0.110553 buffer_diff L3 64
0.110553 buffer_diff L4 -64
0.110553 buffer_diff L4 64
0.110553 buffer_diff L0 -64
0.110553 buffer_diff L0 64
0.110553 buffer_diff L1 -64
0.110553 buffer_diff L1 64
0.110553 buffer_diff L2 -64
0.110553 buffer_diff L2 64
0.110553 buffer_diff L5 64
0.110553 buffer_diff L0 64
0.110594 transmission L5 64
0.110594 transmission L0 64
0.110594 buffer_diff L5 -64
0.110594 buffer_diff L0 -64
0.110604 transmission L3 64
0.110604 transmission L4 64
0.110604 transmission L1 64
0.110604 transmission L2 64
0.110635 transmission L5 64
0.110635 transmission L0 64
0.120604 buffer_diff L1 -64
0.120604 buffer_diff L1 64
0.120604 buffer_diff L2 -64
0.120604 buffer_diff L2 64
0.120604 buffer_diff L3 -64
0.120604 buffer_diff L3 64
0.120604 buffer_diff L4 -64
0.120604 buffer_diff L4 64
0.120655 transmission L1 64
0.120655 transmission L2 64
0.120655 transmission L3 64
0.120655 transmission L4 64
0.130655 buffer_diff L2 -64
0.130655 buffer_diff L2 64
0.130655 buffer_diff L0 -64
0.130655 buffer_diff L0 64
0.130655 buffer_diff L1 -64
0.130655 buffer_diff L1 64
0.130655 buffer_diff L4 -64
0.130655 buffer_diff L4 64
0.130655 buffer_diff L5 -64
0.130655 buffer_diff L5 64
0.130655 buffer_diff L3 -64
0.130655 buffer_diff L3 64
0.130655 buffer_diff L0 64
0.130655 buffer_diff L5 64
0.130696 transmission L0 64
0.130696 transmission L5 64
0.130696 buffer_diff L0 -64
0.130696 buffer_diff L5 -64
0.130707 transmission L2 64
0.130707 transmission L1 64
0.130707 transmission L4 64
0.130707 transmission L3 64
0.130737 transmission L0 64
0.130737 transmission L5 64
0.140707 buffer_diff L4 -64
0.140707 buffer_diff L4 64
0.140707 buffer_diff L3 -64
0.140707 buffer_diff L3 64
0.140707 buffer_diff L2 -64
0.140707 buffer_diff L2 64
0.140707 buffer_diff L1 -64
0.140707 buffer_diff L1 64
0.140758 transmission L4 64
0.140758 transmission L3 64
0.140758 transmission L2 64
0.140758 transmission L1 64
0.150758 buffer_diff L5 -64
0.150758 buffer_diff L5 64
0.150758 buffer_diff L3 -64
0.150758 buffer_diff L3 64
0.150758 buffer_diff L4 -64
0.150758 buffer_diff L4 64
0.150758 buffer_diff L0 -64
0.150758 buffer_diff L0 64
0.150758 buffer_diff L1 -64
0.150758 buffer_diff L1 64
0.150758 buffer_diff L2 -64
0.150758 buffer_diff L2 64
0.150758 buffer_diff L5 64
0.150758 buffer_diff L0 64
0.150799 transmission L5 64
0.150799 transmission L0 64
0.150799 buffer_diff L5 -64
0.150799 buffer_diff L0 -64
0.150809 transmission L3 64
